0	700	800	0	0	0	0	500	0	0	0	0	0	0
700	0	500	400	0	0	0	0	0	0	0	0	0	0
800	500	0	0	0 	700 	0 	0 	0 	0 	0 	0 	0 	0
0 	400 	0 	0 	900 	0 	0 	0 	0 	0 	600 	0 	0 	0
0 	0 	0 	900 	0 	400 	1000 	0 	0 	0 	0 	0 	0 	0
0 	0 	700 	0 	400	0	0 	0 	0 	500 	0 	0 	0 	0
0 	0 	0 	0 	1000	0 	0 	400 	0 	0 	0 	700 	0 	0
500 	0 	0 	0 	0 	0 	400 	0 	300 	0 	0 	0 	0 	0
0 	0 	0 	0 	0 	0 	0 	300 	0 	850 	0 	0 	0 	700
0 	0 	0 	0 	0 	500 	0 	0 	850 	0 	0 	0 	950 	0
0 	0 	0 	600 	0 	0 	0 	0 	0 	0 	0 	350 	0 	1000
0 	0 	0 	0 	0 	0 	700 	0 	0 	0 	350 	0 	800 	0
0 	0 	0 	0 	0 	0 	0 	0 	0 	950	0 	800 	0 	900
0 	0 	0 	0 	0 	0 	0 	0 	700 	0 	1000 	0 	900 	0
